time,do,temperature,pressure
0.0,1.04,30.72,1029.24
1500.0,1.02,28.69,1029.35
2750.0,0.98,28.33,1029.31
4750.0,0.97,28.18,1029.43
6000.0,0.92,28.15,1029.42
7250.0,0.91,28.12,1029.37
8750.0,0.87,28.06,1029.43
10000.0,0.86,28.01,1029.49
11250.0,0.84,27.99,1029.43
12750.0,0.81,28.0,1029.47
14000.0,0.82,28.0,1029.43
15250.0,0.81,27.97,1029.49
16500.0,0.78,27.9,1029.49
18250.0,0.78,27.77,1029.5
19500.0,0.75,27.7,1029.53
20750.0,0.74,27.61,1029.49
22000.0,0.74,27.52,1029.43
23250.0,0.75,27.47,1029.48
24500.0,0.74,27.42,1029.58
25750.0,0.71,27.31,1020.66
